Feature,Coefficient,Absolute Coefficient
Age,0.8466082889805606,0.8466082889805606
GenHlth,0.5274035780490463,0.5274035780490463
Sex,0.4086481757315808,0.4086481757315808
HighChol,0.31586264177662104,0.31586264177662104
HighBP,0.27667864848844553,0.27667864848844553
Stroke,0.22249015468518055,0.22249015468518055
Smoker,0.19085327956129758,0.19085327956129758
DiffWalk,0.11992136099538574,0.11992136099538574
Income,-0.11476801639283697,0.11476801639283697
Diabetes,0.10807685838082398,0.10807685838082398
CholCheck,0.09706019506509073,0.09706019506509073
NoDocbcCost,0.07506221120806458,0.07506221120806458
HvyAlcoholConsump,-0.07079010368115962,0.07079010368115962
MentHlth,0.04153911754388016,0.04153911754388016
PhysHlth,0.02706908656464504,0.02706908656464504
PhysActivity,0.019143284294121866,0.019143284294121866
AnyHealthcare,-0.018790716128313577,0.018790716128313577
Veggies,0.01712028254998206,0.01712028254998206
BMI,0.01179543054071576,0.01179543054071576
Education,0.003052346914435098,0.003052346914435098
Fruits,0.002880538797379575,0.002880538797379575
